Season,Bodega Bay,Crescent City,Eureka,Fort Bragg,Halfmoon Bay,Los Angeles,Monterey,Morro Bay,San Diego,San Francisco,Santa Barbara,Trinidad
1927,,,0.076752,,,0.00027,0.430464,,0.0,2.263056,0.0,
1928,,,0.06288,,,0.0,0.0696,,0.0,1.851024,0.0,
1929,,,0.099168,,,0.0,0.011832,,0.0,1.8798,0.0,
1930,,,0.110896,,,0.0,0.000515,,0.0,2.173009,0.0,
1931,,,0.113878,,,0.0,0.00571,,0.0,2.229031,0.0,
1932,,,0.126428,,,0.0,0.173726,,0.0,2.760944,0.0,
1933,,,0.113775,,,0.0,0.183342,,0.0,3.352224,0.0,
1934,,,0.152366,,,0.0,0.114308,,0.0,3.253188,0.0,
1935,,,0.231684,,,0.0,0.00438,,0.0,2.563012,0.0,
1936,,,0.180504,,,0.0,0.00667,,0.0,1.224185,4.4e-05,
1937,,,0.524612,,,0.0,0.03712,,0.0,3.071004,0.0,
1938,,,1.983409,,,0.0,0.4982,,0.0,3.641412,0.0,
1939,,,1.295878,,,0.0,0.043024,,0.0,3.544576,0.0,
1940,,,0.477334,,,0.0,0.038658,,0.0,4.262388,0.0,
1941,,,0.688386,,,0.0,0.072248,,0.0,1.773704,0.0,
1942,,,0.232348,,,0.0,0.07006,,0.0,1.651174,0.0,
1943,,,0.3404,,,0.0,0.107667,,0.0,2.588731,0.0,
1944,,,1.340717,,,0.0,0.098118,,0.0,2.170702,0.000565,
1945,,,5.821014,,,0.0,0.027549,,0.0,3.420225,0.000968,
1946,,,5.653571,,,0.0,0.067721,,0.0,3.694312,3.8e-05,
1947,,,5.617987,,,0.0,0.066555,,0.0,4.863211,0.0,
1948,,,6.763282,,,0.0,0.028464,,0.0,5.398738,0.02555,
1949,,,4.770521,,,0.0,0.023257,,0.0,5.116474,0.156503,
1950,,,9.064725,,,0.0,0.014639,,0.0,3.793707,0.434078,
1951,,,9.254006,,,0.0,0.014432,,0.0,3.204755,0.097458,
1952,,,4.115362,,,0.0,0.013046,,0.0,4.114478,0.030345,
1953,,,4.307777,,,0.0,0.010634,,0.0,3.888782,0.057113,
1954,,,1.519075,,,0.0,0.009903,,0.0,4.238072,0.081163,
1955,,,8.062971,,,0.0,0.011381,,0.0,4.771523,0.236858,
1956,,,9.980254,,,0.0,0.066777,,0.0,8.919172,0.313202,
1957,,,9.610277,,,0.0,0.13007,,0.0,7.391488,0.155801,
1958,,,12.377569,,,0.0,0.105184,,0.0,5.014214,0.288706,
1959,,,10.728132,,,0.0,0.094932,,0.0,4.784138,0.257983,
1960,,,10.036066,,,0.0,0.032999,,0.0,2.303604,0.066593,
1961,,,3.251318,,,0.0,0.015092,,0.0,0.71035,0.009929,
1962,,,0.900733,,,0.0,0.008616,,0.0,1.42978,0.002559,
1963,,,0.814997,,,0.0,0.009915,,0.0,1.171304,0.002119,
1964,,,3.978997,,,0.0,0.005774,,0.0,0.760402,0.004393,
1965,,,9.985568,,,0.0,0.004894,,0.0,0.446894,0.004371,
1966,,,10.299169,,,0.0,0.002524,,0.0,0.396467,0.00726,
1967,,,12.142853,,,0.0,0.000757,,0.0,1.013589,0.002126,
1968,,,12.852315,,,0.0,0.003331,,0.0,0.832824,0.000106,
1969,,,14.111765,,,0.0,0.001686,,0.0,1.477641,0.001132,
1970,,,7.838049,,,0.0,0.00064,,0.0,0.657298,0.0042,
1971,,,2.545513,,,0.0,0.000271,,0.0,0.319175,0.014115,
1972,,,1.154637,,,0.0,0.000394,,0.0,0.291641,0.053594,
1973,,,0.353117,,,0.0,0.001974,,0.0,0.4027,0.121767,
1974,,,1.457723,,,0.0,0.002378,,0.0,0.230976,0.123434,
1975,,,17.056337,,,0.0,0.00024,,0.0,0.340945,0.012808,
1976,,,25.804846,,,0.0,0.001186,,0.0,0.624777,0.009818,
1977,,,13.275617,,,3e-06,0.011991,,0.0001,0.610779,0.079959,
1978,,,7.926981,,,0.000124,0.007,,3.7e-05,0.805206,0.05475,
1979,,,13.245483,,,0.000883,0.00625,,0.0,0.681777,0.068964,
1980,,,9.777408,,,0.0,0.015863,,0.001596,0.527158,0.01283,
1981,,,2.76524,,,0.000656,0.002575,,0.0,0.208393,0.007671,
1982,,,0.992345,,,9e-06,0.004473,,0.0,0.578822,0.017295,
1983,,,3.989666,,,4.5e-05,0.028804,,0.000154,0.862353,0.028898,
1984,,,3.338914,,,0.000203,0.013253,,0.00109,0.600269,0.01288,
1985,,,3.807588,,,0.002554,0.000509,,1.1e-05,0.388096,0.009076,
1986,,,5.802484,,,0.003401,0.012002,,2e-05,1.623931,0.005248,
1987,,,5.626844,,,0.000144,0.033148,,5.5e-05,3.096734,0.007486,
1988,,,7.985179,,,0.001342,0.080563,,0.0,1.513241,0.009628,
1989,,,3.809043,,,0.001768,0.051349,,0.000353,0.770396,0.051566,
1990,,,10.603985,,,0.005083,0.046965,,2e-06,1.251956,0.067051,
1991,,,8.678375,,,0.007152,0.064307,,0.0,0.995459,0.086005,
1992,,,9.614817,,,0.018387,0.030329,,0.0,0.268216,0.148677,
1993,,,5.545817,,,0.006598,0.051228,,0.0,0.594745,0.254486,
1994,,,10.043602,,,0.002199,0.160509,,4.2e-05,2.956484,0.061544,
1995,,,13.12055,,,0.003841,0.112508,,0.000608,1.913252,0.02532,
1996,,,2.191968,,,1.2e-05,0.063216,,1.5e-05,1.736233,0.011414,
1997,,,7.796009,,,0.000594,0.051995,,0.0,3.536114,0.015477,
1998,,,8.598818,,,0.0,0.03016,,0.0,1.258024,0.006427,
1999,,,7.823583,,,0.0,0.026279,,0.0,0.911881,0.005324,
2000,,,3.993873,,,1.4e-05,0.025982,,0.0,1.650382,0.008786,
2001,,,1.897488,,,0.0,0.068379,,0.0,1.614783,0.029013,
2002,1.31063935,4.35505935,3.67706832,0.42265903,1.07936436,,0.12004306,0.03102195,,1.8231132,,1.0387125
2003,1.44579447,9.62256169,3.99126455,0.4914691,1.53452704,,0.19850485,0.02337704,,2.16821422,,1.82557585
2004,1.98022032,10.7151264,5.9311315,1.0099335,1.15372727,,0.13859216,0.0568983,,2.78823429,,1.4582783
2005,1.41343345,11.60283435,3.77998775,0.72806785,1.64262756,,0.33616209,0.2476506,,2.3635483,,1.65177637
2006,1.9298026,4.0760824,2.282983,0.50365616,1.49024914,,0.21022897,0.08519035,,2.29790602,,0.6832512
2007,1.42575935,2.16553285,1.6164695,0.7159618,0.75803816,,0.40230924,0.01222083,,1.24748584,,0.353172
2008,0.2863092,2.54955883,1.54981928,0.44622369,0.26179582,,0.11397668,0.0023651,,0.43394981,,0.545487
2009,0.56024477,7.90731516,4.43442191,0.09511665,1.13956615,,0.2548186,0.0027583,,1.4391124,,1.346391
2010,1.31063935,4.35505935,3.67706832,0.42265903,1.07936436,,0.12004306,0.03102195,,1.8231132,,1.0387125
2011,4.97655607,7.52787176,5.91308884,1.99428584,2.98040636,,0.5714097,0.1444656,,6.9282892,,0.850555
2012,1.8908396,9.18988586,5.6880931,0.55138438,2.16244587,,0.66625455,0.50075798,,2.4586367,,1.25997
2013,2.58043296,3.13455263,2.24291379,0.51943904,2.33778299,,0.83831881,0.7357109,,4.02839944,,0.825967
2014,2.84759886,1.31946804,1.11493407,0.68619325,2.48906406,,0.84025862,0.77848085,,5.87049877,,0.39156
